Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,388,1,0,H3,90121,8,61,61,164,0
2010,388,1,0,H3,9,1,,,6274194,0
2010,388,2,0,H3,9,1,,,29068839,0
2010,388,1,0,H3,901,8,326222,326222,1336236,0
2010,388,1,0,H3,90111,8,280546,280546,1049027,0
2010,388,2,0,H3,90111,8,800487,800487,19191738,0
2010,388,1,0,H3,90112,8,45515,45515,286678,0
2011,388,1,0,H3,90910,8,1594,1594,10410,0
2011,388,1,0,H3,90820,8,27,27,241,0
2011,388,1,0,H3,90500,8,3241,3241,10744,0
2011,388,2,0,H3,90500,8,66889,66889,196032,0
2011,388,1,0,H3,905,8,3241,3241,10744,0
2011,388,2,0,H3,905,8,66889,66889,196032,0
2011,388,2,0,H3,906,8,4108,4108,13531,0
2011,388,2,0,H3,90230,8,133833,133833,1469866,0
2011,388,3,0,H3,90230,8,29384,29384,171753,0
2011,388,1,0,H3,906,8,25706,25706,97383,0
2011,388,2,0,H3,90220,8,43605,43605,172104,0
2011,388,3,0,H3,90220,8,23502,23502,100405,0
2011,388,2,0,H3,90611,8,68,68,527,0
2011,388,2,0,H3,90210,8,72033,72033,287066,0
2011,388,3,0,H3,90210,8,20842,20842,51141,0
2011,388,1,0,H3,90611,8,1167,1167,8041,0
2011,388,2,0,H3,902,8,259161,259161,1984842,0
2011,388,3,0,H3,902,8,74942,74942,325023,0
2011,388,2,0,H3,90619,8,4013,4013,12744,0
2011,388,2,0,H3,90190,8,288,288,5217,0
2011,388,1,0,H3,90619,8,277,277,1290,0
2011,388,2,0,H3,90122,8,8403,8403,162025,0
2011,388,3,0,H3,90122,8,1,1,216,0
2011,388,2,0,H3,90620,8,27,27,261,0
2011,388,2,0,H3,90121,8,85705,85705,1394964,0
2011,388,3,0,H3,90121,8,11,11,260,0
2011,388,1,0,H3,90620,8,24261,24261,88052,0
2011,388,2,0,H3,90112,8,764,764,27472,0
2011,388,1,0,H3,907,8,2483,2483,27056,0
2011,388,2,0,H3,90111,8,841640,841640,18311482,0
2011,388,3,0,H3,90111,8,62,62,521,0
2011,388,1,0,H3,90700,8,2483,2483,27056,0
2011,388,2,0,H3,901,8,936800,936800,19901161,0
2011,388,2,0,H3,908,8,265,265,2892,0
2011,388,2,0,H3,9,1,,,26629745,0
2011,388,3,0,H3,9,1,,,879400,0
2011,388,3,0,H3,901,8,74,74,997,0
2011,388,1,0,H3,908,8,23021,23021,426554,0
2011,388,2,0,H3,90810,8,265,265,2892,0
2011,388,1,0,H3,90810,8,22880,22880,424985,0
2011,388,1,0,H3,90830,8,114,114,1328,0
2011,388,1,0,H3,909,8,24267,24267,97069,0
2011,388,1,0,H3,90920,8,13799,13799,45905,0
2011,388,1,0,H3,90930,8,8238,8238,36810,0
2011,388,1,0,H3,90940,8,478,478,2645,0
2011,388,1,0,H3,90950,8,158,158,1298,0
2011,388,3,0,H3,910,8,101431,101431,553381,0
2011,388,2,0,H3,910,8,411551,411551,1877689,0
2011,388,1,0,H3,910,8,318392,318392,1428897,0
2011,388,3,0,H3,91010,8,101302,101302,510050,0
2011,388,2,0,H3,91010,8,124856,124856,651207,0
2011,388,1,0,H3,91010,8,115040,115040,548762,0
